# EntrezGeneId,ABAGeneSymbol
12041,Bckdk
12042,Bcl10
12043,Bcl2
12044,Bcl2a1a
12045,Bcl2a1b
12047,Bcl2a1d
12048,Bcl2l1
12049,Bcl2l10
12050,Bcl2l2
12051,Bcl3
12053,Bcl6
12054,Bcl7b
12055,Bcl7c
12057,Opn1sw
12061,Bdkrb1
12062,Bdkrb2
12064,Bdnf
12068,Bet1
12069,Bex2
12070,Ngfrap1
12075,Bfsp1
12091,Glb1
12095,Bglap-rs1
12111,Bgn
12116,Bhmt
12121,Bicd1
12122,Bid
12123,Hrk
12124,Bik
12125,Bcl2l11
12140,Fabp7
12142,Prdm1
12143,Blk
12144,Blm
12145,Blr1
12151,Bmi1
12153,Bmp1
12154,Bmp10
12155,Bmp15
12156,Bmp2
12159,Bmp4
12160,Bmp5
12161,Bmp6
12162,Bmp7
12163,Bmp8a
12164,Bmp8b
12165,Gdf2
12166,Bmpr1a
12167,Bmpr1b
12168,Bmpr2
12169,Bmx
12173,Bnc1
12175,Bnip2
12176,Bnip3
12177,Bnip3l
12180,Smyd1
12181,Bop1
12182,Bst1
12183,Bpgm
12189,Brca1
12190,Brca2
12192,Zfp36l1
12209,Brs3
12211,Birc6
12215,Bsg
12217,Bsn
12223,Btc
12224,Klf5
12226,Btg1
12227,Btg2
12228,Btg3
12229,Btk
12231,Btn1a1
12234,Btrc
12235,Bub1
12236,Bub1b
12237,Bub3
12238,Commd3
12257,Tspo
12258,Serping1
12259,C1qa
12260,C1qb
12261,C1qbp
12262,C1qc
12263,C2
12265,C2ta
12266,C3
12267,C3ar1
12268,C4b
12269,C4bp
12273,C5ar1
12274,C6
12282,Hyou1
12283,Cab39
12286,Cacna1a
12287,Cacna1b
12288,Cacna1c
12289,Cacna1d
12290,Cacna1e
12291,Cacna1g
12292,Cacna1s
12293,Cacna2d1
12294,Cacna2d3
12295,Cacnb1
12296,Cacnb2
12297,Cacnb3
12298,Cacnb4
12299,Cacng1
12300,Cacng2
12301,Cacybp
12304,Pdia4
12305,Ddr1
12306,Anxa2
12307,Calb1
12308,Calb2
12309,S100g
12310,Calca
12311,Calcr
12313,Calm1
12314,Calm2
12315,Calm3
12316,Aspm
12317,Calr
12319,Car8
12321,Calu
12322,Camk2a
12323,Camk2b
12325,Camk2g
12326,Camk4
12328,Caml
12330,Canx
12331,Cap1
12332,Capg
12333,Capn1
12334,Capn2
12335,Capn3
12336,Capns1
12337,Capn5
12338,Capn6
12339,Capn7
12340,Capza1
12344,Capza3
12345,Capzb
12346,Car1
12348,Car11
12349,Car2
12350,Car3
12351,Car4
12352,Car5a
12353,Car6
12354,Car7
12355,Nr1i3
12359,Cat
12361,Cask
12363,Casp4
12364,Casp12
12365,Casp14
12366,Casp2
12367,Casp3
12368,Casp6
12369,Casp7
12370,Casp8
12371,Casp9
12372,Casq1
12373,Casq2
12374,Casr
12380,Cast
12386,Ctnna2
12387,Ctnnb1
12388,Ctnnd1
12389,Cav1
12390,Cav2
12391,Cav3
12393,Runx2
12394,Runx1
12395,Runx1t1
12396,Cbfa2t2h
12398,Cbfa2t3h
12399,Runx3
12400,Cbfb
12401,Serpina6
12402,Cbl
12405,Cbln2
12406,Serpinh1
12408,Cbr1
12409,Cbr2
12411,Cbs
12412,Cbx1
12416,Cbx2
12417,Cbx3
12418,Cbx4
12419,Cbx5
12421,Rb1cc1
12424,Cck
12425,Cckar
12426,Cckbr
12427,Ccna1
12428,Ccna2
12442,Ccnb2
12443,Ccnd1
12444,Ccnd2
12445,Ccnd3
12447,Ccne1
12448,Ccne2
12449,Ccnf
12450,Ccng1
12452,Ccng2
12453,Ccni
12454,Ccnk
12455,Ccnt1
12457,Ccrn4l
12458,Ccr6
12460,Ccs
12461,Cct2
12462,Cct3
12464,Cct4
12465,Cct5
12466,Cct6a
12467,Cct6b
12468,Cct7
12469,Cct8
